Date,Holiday_Name,Holiday_Type,Year,Month,Year_Month,Day_Of_Week,is_public_holiday,is_bank_holiday,is_mercantile_holiday,is_poya_day,is_weekend_holiday,is_long_weekend_proxy,is_festive_holiday
2023-01-06,Duruthu Full Moon Poya Day,Public,2023,1,2023-01,4,1,0,0,1,0,1,0
2023-01-15,Tamil Thai Pongal Day,Public,2023,1,2023-01,6,1,0,0,0,1,0,1
2023-01-16,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Public,2023,1,2023-01,0,1,0,0,0,0,1,1
2023-02-03,Additional Half Holiday in lieu of the Independence Day falling on Saturday,Public,2023,2,2023-02,4,1,0,0,0,0,1,0
2023-02-04,National Day,Public,2023,2,2023-02,5,1,0,0,0,1,0,1
2023-02-05,Navam Full Moon Poya Day,Public,2023,2,2023-02,6,1,0,0,1,1,0,0
2024-03-24,Medin Full Moon Poya Day,Public,2024,3,2024-03,6,1,0,0,1,1,0,0
2023-03-06,Medin Full Moon Poya Day,Public,2023,3,2023-03,0,1,0,0,1,0,1,0
2023-04-05,Bak Full Moon Poya Day,Public,2023,4,2023-04,2,1,0,0,1,0,0,0
2023-04-07,Good Friday,Public,2023,4,2023-04,4,1,0,0,0,0,1,0
2023-04-13,Day Prior to Sinhala and Tamil New Year Day,Public,2023,4,2023-04,3,1,0,0,0,0,0,1
2023-04-14,Sinhala and Tamil New Year Day,Public,2023,4,2023-04,4,1,0,0,0,0,1,1
2023-05-01,Labour Day,Public,2023,5,2023-05,0,1,0,0,0,0,1,1
2023-05-04,Additional Half Holiday in lieu of Day following Vesak Full Moon Poya Day falling on Saturday,Public,2023,5,2023-05,3,1,0,0,1,0,0,1
2023-05-05,Vesak Full Moon Poya Day,Public,2023,5,2023-05,4,1,0,0,1,0,1,1
2023-05-06,Day after Vesak Full Moon Poya Day,Public,2023,5,2023-05,5,1,0,0,1,1,0,1
2023-06-03,Poson Full Moon Poya Day,Public,2023,6,2023-06,5,1,0,0,1,1,0,0
2023-07-03,Adi Esala Full Moon Poya Day,Public,2023,7,2023-07,0,1,0,0,1,0,1,0
2023-08-01,Esala Full Moon Poya Day,Public,2023,8,2023-08,1,1,0,0,1,0,0,0
2023-08-30,Nikini Full Moon Poya Day,Public,2023,8,2023-08,2,1,0,0,1,0,0,0
2023-09-28,Holy Prophet's Birthday,Public,2023,9,2023-09,3,1,0,0,0,0,0,0
2023-09-29,Binara Full Moon Poya Day,Public,2023,9,2023-09,4,1,0,0,1,0,1,0
2023-10-28,Vap Full Moon Poya Day,Public,2023,10,2023-10,5,1,0,0,1,1,0,0
2023-11-26,Il Full Moon Poya Day,Public,2023,11,2023-11,6,1,0,0,1,1,0,0
2023-12-25,Christmas Day,Public,2023,12,2023-12,0,1,0,0,0,0,1,1
2023-12-26,Unduvap Full Moon Poya Day,Public,2023,12,2023-12,1,1,0,0,1,0,0,0
